t,feature1,feature2,feature3,feature4,exog,target
0,0.24835707650561634,0.9526466307562959,59.39278569636628,-0.19175569123735497,0.0,23.015101400563402
1,0.23153431654301618,0.8953673473400452,59.759644188704925,-0.25050173788814445,0.0,23.279847980286526
2,0.9212240433800558,1.0500805786978633,59.913756499293214,-0.27671767795751606,0.0,23.9646026749121
3,1.6477640335733685,1.3966553643272273,0.5762231926725312,0.1425997824275595,0.0,1.3052340008376688
4,1.0464306608417626,1.303116492800864,0.2965380781411646,0.03718646045442772,0.0,0.5542475576908055
5,1.308502026110356,1.0304054280373767,0.4698829208840664,0.17588107952102194,0.0,1.514175444427758
6,2.458700619611073,1.0586361968971738,1.4154184847422224,0.25809453722430264,0.0,2.965744883737173
7,2.274743850128033,0.7188614806298874,0.5276837308857371,0.1931233986345067,0.0,2.1689478911432785
8,1.853918658036554,-0.021527915192378153,1.2633398316656996,0.29155263523007474,0.0,3.289062270035172
9,2.530934126725022,-0.10390026114833889,1.8727355653252826,0.1660935427515461,0.0,3.713693774730713
10,2.170404186184076,-1.361645042146356,1.801067842354592,-0.03739867766114893,0.0,4.09810398315635
11,2.2817096246722492,-1.47882090002252,1.7482942559376813,0.43156283616415925,0.0,4.760716729392408
12,2.7170345926395605,-1.930586939905397,1.7673145876631675,0.1221775734437746,0.0,5.2711269371074545
13,1.689413334527644,-2.437628686672431,1.4568997119246627,0.07288074024751481,0.0,4.451903480636199
14,1.802115585200861,-1.9189760853111524,1.7086478344685985,0.2444164248391204,5e-323,4.312175927620376
15,2.370969267969821,-1.8028980953505442,2.381303444315512,0.11743781614069737,1.383e-321,4.7032369538896726
16,2.103238544764827,-1.05568503968752,1.0476614525267467,0.23651392360211354,6.3586e-320,4.395490257259981
17,2.695779517301667,-0.9630264126923012,0.8752613485385751,0.40881078431269335,2.943643e-318,4.507323395813166
18,1.987014447790973,-1.0392060662188294,1.8065436426940573,0.42966834784922536,1.3491495e-316,3.9871242096660944
19,1.6129423611897318,0.2633870553651737,1.7929389957940458,0.2004339867148741,6.122003336e-315,2.924155616143275
20,2.9083948890457236,0.4854484165639101,2.3966759637890998,0.3024589254102511,2.7503253126e-313,4.444031733998359
21,1.9006191979601623,0.6353523732791898,1.4969792858156987,0.6348666009540487,1.223296194406e-311,3.062498406460593
22,1.8700132077133182,0.6275950140696053,1.2080685675285852,0.5392800235467883,5.3868668212693e-310,3.475837483888611
23,0.9350056812229821,0.509835930533469,2.557496058087729,0.8750130078697084,2.3485397103592163e-308,2.3690763594148705
24,1.1784751048660178,0.6425098467370268,1.1465470184290458,0.7160256347483055,1.0137167725814462e-306,1.8931727012872188
25,1.3054612948549333,0.8929984287468151,1.4183064111340529,0.7288586137119878,4.332039538514401e-305,2.1432516442335827
